star_rating,user_id,review_id,text,restaurant_id,time_created
5,JlloB24xkeN2DW_f8jS9mQ,KITl7JugqVkiriCmlwx7rw,I loved this place. I came with some friends and thought we were just heading to a regular pizza joint. I was surprised at how sophisticated and funky this...,BOu8G-QQMOKZRjw79HM-lQ,2020-05-07 18:09:39
4,5kMii2JySygayQpyPBjqCA,5l51s8h_H58cAaXmy_A22A,pre covid review: Came here for a beer after volunteering near by and appreciated the amount of local options that they had -- including Turtle Swamp!...,BOu8G-QQMOKZRjw79HM-lQ,2020-05-06 08:46:03
5,xAC4WGbnPGlufeFDiOZJXw,RZQHXfzE-HbJ5Z3SOrONdg,My favorite place in JP and one of the places that made me choose JP as my home. It's now closed for good. Heartbreaking,BOu8G-QQMOKZRjw79HM-lQ,2020-07-15 16:41:13
5,6B8Ju-SQKQH1btSdT-k7Sw,7B7Q_jCeYBEznVjgz-sXsA,"Came here to watch boxing pay per view. They were only place in the area that would show it. They charged $15 cover but it was well worth it.  This bar is...",VTvZpoW24og2k2t5RRp0Vw,2020-02-25 11:40:41
4,Wkw5liUkfk-Mm8X7EG4FXw,ixLMrxDGVgGaypsOBUpYog,"I would not have come here if not for the Boston Seahawks fans watching the games here (pubs aren't usually my thing). The menu was super cute - they have...",VTvZpoW24og2k2t5RRp0Vw,2020-01-06 18:41:08
2,-0ryDHRHIl3n6_NHvgF17g,HoQ-qartsLcpY5FXxvh_VA,"Came here for the Women's World Cup game. Service is excellent and friendly and fast, and the drinks are fine -- decent (although not terribly extensive)...",VTvZpoW24og2k2t5RRp0Vw,2019-07-07 17:32:33
5,I1nzzF_aUkhhuMOSi9kOhQ,SEHbv45mb8YNb25df4WNKQ,"Sorry, we're closed': The Pour House is being sold due to...",yJZkJr3Bb5XqqoRDa22o5A,2020-09-03 14:15:11
4,oBYj1JQFBHxO1e_S-KwN-A,guc_FshpVTvNzFYFMADMow,Its a real shame this bar closed down. It was the closest bar to my school that didnt price gouge for drinks in Back Bay. This bar is a local legend around...,yJZkJr3Bb5XqqoRDa22o5A,2020-11-19 04:02:36
3,G29-bpwo_tD_8l5FtzlGiQ,3a01ifI-EKas45bbjQmjtw,"Late night bar food that hits the spot. Although we didn't have a drink here we did have some really tasty nachos. Sans the black olives and salsa. We got...",yJZkJr3Bb5XqqoRDa22o5A,2020-01-23 09:32:24
4,dXZ5XuGz--0U9ONr9P2Q1A,20nZe1L2hBE_AdeuxSVotA,"Outdoor seating during pandemic. Great, strong drinks. The spicy margarita was delicious. Fish & Chips was hot and the tarter sauce was to die for!!!!!!!!",DuT5BBmKRtcGYQzKkoEiZw,2020-06-20 17:33:29
5,kPtyNr4m6pmxnrYE4eL4vw,S8S3PZILgZfVBMtJ6JpEsw,"Stopped at the famous Cheers bar! Lots of history inside, pictures on the wall, outdoor and indoor seating available.",DuT5BBmKRtcGYQzKkoEiZw,2020-08-12 07:39:17
2,MiIhPqbV11A_rmDfCjVL9w,5p6Z7dRtNRdooGyk8oZW5A,I'm a sucker for a tourist trap and you can't really call this location of Cheers anything but that. I ended up taking a seat at the bar because of my love...,DuT5BBmKRtcGYQzKkoEiZw,2020-01-04 04:42:37
4,hWKywJapka2edpHWwHXmAg,zJORIHIgwx2xfkXFcjnO9g,"Had the late night munchies on a Tuesday 10pm and this place was opened. There were plenty of parking on the street at that time. I ordered a super size...",ecubob5HjRKkci4wEuK3ow,2019-12-24 22:37:47
1,ZN_s7C4UEm-Zd1u17pfXyA,QzS6cyWF8UhxyBa-F-E-CA,"The burrito I ordered was small and probably less than 5% chicken by weight. I'm not even lying, the woman who made my burrito initially gave me a SINGLE...",ecubob5HjRKkci4wEuK3ow,2020-01-19 10:21:30
5,GjPfBCG_sCC4LNZKyYPTnQ,L9pVcHtmjqIcbvnd2cEspw,Anna's is a must if you're in the Boston area.  Reminds me of all the times I used to come here for lunch during my free blocks in high school.  You have...,ecubob5HjRKkci4wEuK3ow,2019-07-26 13:25:27
5,EyS0SgdNt8b4bt3utRS0LA,crUb-sIR5eFzX4VlIfzkrg,This place is awesome. We had the best service from Tony! Just kinda stumbled onto this place because a big group of us were staying at the Courtyard...,Cnmw5H0jwJI6mJb5xDDQtA,2020-08-04 16:39:41
4,tnLrH02XCDBZZkyrMBPp9w,x067c9SVVRIxWmHqq9iovA,This place was a last minute decision for dinner for our last night in Boston and it was really good!! We didn't know what to expect but service was amazing...,Cnmw5H0jwJI6mJb5xDDQtA,2020-08-07 09:03:22
4,GehP0Yx17M0hrp3bHsJMXw,SjWl3pXf8USDkkjHoawihg,This is A-OK. I was pretty smashed when I came to this establishment. I ordered the pulled pork sandwich and apparently it hit the spot (see attached...,Cnmw5H0jwJI6mJb5xDDQtA,2019-12-14 19:26:31
5,4StdAPdRBAXbJCXj7Mow6A,2ZBVe---2KAdsNSZzWsnmA,"McGreevy's is Boston's answer to ""where can I go to get a good drink and possibly catch herpes just from sitting in a booth?"" Guy Fieri won't even come here...",dB7dauNiPa4Tx1aIcZGeog,2020-04-15 09:25:31
4,3R_dB9VQ_D3WPJEw7pmorA,Ek9tExBJJPStTSLe7daCRw,"Friendly staff, Cool Atmosphere..... Good Down East Ciders. Monday: Free comedy show in the basement... Some funny, some funny to not be funny.......",dB7dauNiPa4Tx1aIcZGeog,2019-08-05 20:24:49
5,xk4gYT8-YgM2OGzDS1TxEQ,NlfzsitywCbK6-P9FyMAYQ,"Just came by to try their Sunday $1 oyster special...it was absolutely amazing! For context, I don't have oysters often and was just visiting Boston--there...",dB7dauNiPa4Tx1aIcZGeog,2019-12-22 09:49:32
5,0u6vhaaT02KdvryN3K9swA,D5w4a2z2FqH1R24LFqqHww,Their food is absolutely amazing; I highly recommend. The atmosphere is unbeatable and you're never bored while waiting for your food!,yx4IYpg9MGbrVqNdZwXX_A,2020-08-19 22:40:35
4,-WAFsUeDcwt3qxGMm6EDeA,cjgesq60HhgxOraqCM4gQA,"My go to brunch place in Kendall Square with a huge, creative menu chock full of delicious, hearty items you can't find anywhere else. They've got a number...",yx4IYpg9MGbrVqNdZwXX_A,2020-05-06 18:24:13
3,K5ig8HJiX1_F0p9a1iQHdg,w_eB7nGLRWo3DhH8-JcXLw,My boyfriend and I had be meaning to try this places for over a year so final we decided to go. We started with the some like it tot appetizer and the...,yx4IYpg9MGbrVqNdZwXX_A,2020-02-21 15:50:47
5,Khc0VyipXPfFILPuMe7elg,M5zEHfMbEhTqTh0-gwz2-w,"We were so happy to learn that one of our favorite restaurants - Taranta - now has outdoor seating! Located on the first block of Hanover Street, they...",3w53096TZI65qMgxhuwc2A,2020-06-22 18:25:03
5,GP6Aduw4PD6hHoUQRRJs-g,3dS7GeKKm3bC2i82QPiF6g,Food was delicious. Service was very friendly. The Peruvian potatoes are yellow and mashed seasoned beautifully. The seasoning is very different to anything...,3w53096TZI65qMgxhuwc2A,2020-07-11 15:24:15
4,jqqB8hWF8kIrv2-qWt23xg,QeuzuJWoEIgPPyxWMo3XzQ,"Fantastic and interesting dishes - definitely a unique place in the North End and sets itself apart from all the standard pasta joints. The coccio with...",3w53096TZI65qMgxhuwc2A,2019-09-18 17:40:17
5,XmlkWy3448HmiXUqMGgWQw,8BJz1O-Y_D2Mgf42ZeMM1w,"Bull McCabe's is a small pub in Union Square with frequent live music.  Draft menu is the standard stuff at standard prices, kitchen is very small and with...",ItZXR8qp_WC_v9zuSQGS9w,2018-04-23 19:11:56
5,ybyHBnak8uMToCt0WOoGJA,pkHvXmt_hJ-AI6tn4UFs9A,Classic place. Fun waiter who kept things moving.  Incredible burgers and fish sandwich. Way better than expected in a great Irish pub setting.,ItZXR8qp_WC_v9zuSQGS9w,2019-12-17 20:49:47
5,RKoAREQFKQn2VT1DDzO44g,KpjWPhnw85yUpQAmcPxHFA,"I came here with some friends and we had a great time: great burgers, large choice of draught beers and we even had a live performance of a reggae music. I...",ItZXR8qp_WC_v9zuSQGS9w,2019-10-29 19:56:10
4,Z374Ok46YdkmWqa__9nAjA,zOQNarhdEDu4pGeoYfctQA,Finally a good option for pizza delivery. Past attempts from competitors have resulted in delivery of cold pizza but the Regina Pizza at the Allston...,ljBH1FoYNZ_Ubhfkqvs-Sw,2020-06-12 17:41:17
