st_name,value,st_num,property_id,zip_code
BEACON,878200,87,0502550008,02108
BEACON,817600,87,0502550010,02108
BEACON,414200,90,0502553002,02108
BEACON,849500,87,0502550012,02108
BEACON,734400,87,0502550014,02108
BEACON,2162300,87,0502550016,02108
BEACON,438200,88,0502551002,02108
BEACON,739400,88,0502551004,02108
BEACON,7683300,88,0502551006,02108
BEACON,623600,88,0502551008,02108
BEACON,1415500,88,0502551010,02108
BEACON,1821500,88,0502551012,02108
BEACON,2961500,89,0502552000,02108
TREMONT,5494500,   ,0302858000,02108
BEACON,2501000,90,0502553004,02108
BEACON,891600,90,0502553006,02108
BEACON,522200,90,0502553008,02108
BEACON,1091000,90,0502553010,02108
BEACON,588700,90,0502553012,02108
BEACON,1957000,90,0502553014,02108
BEACON,1428300,91,0502554002,02108
BEACON,4663576,91,0502554004,02108
BEACON,3665374,91,0502554006,02108
BEAVER,2678800,2,0502555000,02108
BRIMMER,976027,71,0502556000,02108
BRIMMER,894473,73,0502556001,02108
BEACON,394914,92,0502557002,02108
BEACON,979400,92,0502557006,02108
BEACON,513500,92,0502557008,02108
BEACON,720400,92,0502557010,02108
BEACON,745500,92,0502557012,02108
BEACON,1061100,92,0502557014,02108
BEACON,530900,92,0502557016,02108
BEACON,712800,92,0502557018,02108
BEACON,769300,92,0502557020,02108
BEACON,1001400,92,0502557022,02108
BEACON,537300,92,0502557024,02108
BEACON,698100,92,0502557026,02108
BEACON,761500,92,0502557028,02108
BEACON,1001400,92,0502557030,02108
BEACON,537300,92,0502557032,02108
BEACON,712800,92,0502557034,02108
BEACON,763700,92,0502557036,02108
BEACON,1217600,92,0502557038,02108
BEACON,1107600,92,0502557042,02108
BEACON,779500,92,0502557044,02108
BEACON,210000,92,0502557046,02108
BEACON,5333000,93,0502558000,02108
BEACON,2260300,94,0502559002,02108
BEACON,2495700,94,0502559004,02108
BEACON,1541800,94,0502559006,02108
BEACON,1558300,94,0502559008,02108
BEACON,2022100,94,0502559010,02108
BEACON,478500,95,0502560002,02108
BEACON,491200,95,0502560004,02108
PUTNAM,541200,104 A 104,0100001000,02128
LEXINGTON,596100,197,0100002000,02128
LEXINGTON,542500,199,0100003000,02128
LEXINGTON,518300,201,0100004000,02128
LEXINGTON,528400,203,0100005000,02128
LEXINGTON,636500,205 207,0100006000,02128
LEXINGTON,685000,209 211,0100007000,02128
LEXINGTON,703700,213,0100008000,02128
LEXINGTON,587200,215,0100009000,02128
LEXINGTON,275600,217,0100010000,02128
LEXINGTON,629700,219,0100011000,02128
LEXINGTON,588900,221,0100012000,02128
LEXINGTON,632900,223,0100013000,02128
LEXINGTON,653700,225,0100014000,02128
LEXINGTON,562200,227,0100015000,02128
LEXINGTON,551200,235,0100016000,02128
LEXINGTON,478000,237,0100017000,02128
LEXINGTON,640100,239,0100018000,02128
LEXINGTON,939800,241,0100019000,02128
LEXINGTON,657400,243,0100020000,02128
LEXINGTON,234500,243 HF,0100021000,02128
LEXINGTON,609500,245,0100022000,02128
LEXINGTON,600900,247,0100023000,02128
LEXINGTON,526600,249,0100024000,02128
LEXINGTON,598500,251,0100025000,02128
PRESCOTT,402200,31,0100026000,02128
PRESCOTT,375800,33,0100027000,02128
PRESCOTT,522100,35,0100028000,02128
PRESCOTT,697000,37 39,0100029000,02128
PRINCETON,661500,252,0100030000,02128
PRINCETON,723800,250,0100031000,02128
PRINCETON,524900,248,0100032000,02128
PRINCETON,371500,246,0100033000,02128
PRINCETON,450500,244,0100034000,02128
PRINCETON,503800,242,0100035000,02128
PRINCETON,658300,240,0100036000,02128
PRINCETON,615030,238 R238,0100037000,02128
PRINCETON,615030,238 R238,0100037000,02128
PRINCETON,663800,236,0100038000,02128
PRINCETON,559000,234,0100039000,02128
PRINCETON,792500,226 228,0100040000,02128
PRINCETON,392000,224,0100041000,02128
PRINCETON,523900,222,0100042000,02128
PRINCETON,643700,218,0100043000,02128
PRINCETON,564900,216,0100044000,02128
PRINCETON,745700,214,0100045000,02128
PRINCETON,503500,212,0100046000,02128
PRINCETON,623500,208,0100047000,02128
PRINCETON,559100,206,0100048000,02128
PRINCETON,644200,204,0100049000,02128
PRINCETON,517100,202,0100050000,02128
PRINCETON,515500,198 200,0100051000,02128
PUTNAM,303500,112,0100052000,02128
PUTNAM,341900,110,0100053000,02128
PUTNAM,479400,108,0100054000,02128
PUTNAM,540700,106,0100055000,02128
BENNINGTON,735000,254 256,0100056000,02128
PRESCOTT,799800,74,0100057000,02128
PRESCOTT,834200,72,0100058000,02128
PRESCOTT,471200,68 70,0100059000,02128
PRESCOTT,363300,62 A62,0100060000,02128
SARATOGA,643500,399 401,0100061000,02128
SARATOGA,375700,403 405,0100062000,02128
SARATOGA,592200,407,0100063000,02128
SARATOGA,540600,409,0100064000,02128
SARATOGA,632100,411,0100065000,02128
SARATOGA,730600,413,0100066000,02128
PRINCETON,38300,   ,0100267000,02128
SARATOGA,558200,421,0100067000,02128
SARATOGA,704500,423,0100068000,02128
SARATOGA,560100,425,0100069000,02128
SARATOGA,532000,427 A427,0100070000,02128
SARATOGA,539100,429 A429,0100071000,02128
SARATOGA,616900,431 A431,0100072000,02128
SARATOGA,674300,433 A433,0100073000,02128
SARATOGA,471800,443,0100074000,02128
SARATOGA,666200,445,0100075000,02128
SARATOGA,630700,447,0100076000,02128
SARATOGA,200298,449 451,0100077000,02128
CHELSEA,823100,392 -398,0100079000,02128
CHELSEA,592500,390 A390,0100080000,02128
CHELSEA,597500,382 386,0100081000,02128
CHELSEA,604000,380,0100082000,02128
CHELSEA,546000,378 A378,0100083000,02128
CHELSEA,423000,376 A376,0100084000,02128
BENNINGTON,234000,300,0100085000,02128
BENNINGTON,516000,296 A298,0100086000,02128
BENNINGTON,119000,294,0100087000,02128
BENNINGTON,294500,292,0100088000,02128
BENNINGTON,439000,290,0100089000,02128
BENNINGTON,262000,288,0100090000,02128
BENNINGTON,1827500,282 286,0100091000,02128
NEPTUNE,564400,   ,0100359000,02128
BENNINGTON,412000,276 280,0100092000,02128
BENNINGTON,348500,266 268,0100093000,02128
BENNINGTON,201000,262 264,0100094000,02128
BENNINGTON,666000,258 260,0100095000,02128
SARATOGA,591500,402,0100096000,02128
PRESCOTT,621100,50,0100097000,02128
PRINCETON,787000,257 259,0100098000,02128
PRINCETON,555800,261,0100099000,02128
PRINCETON,654000,263,0100100000,02128
PRINCETON,609100,265,0100101000,02128
PRINCETON,782300,267 269,0100102000,02128
PRINCETON,489800,271,0100103000,02128
PRINCETON,689400,273,0100104000,02128
PRINCETON,924056,277,0100105000,02128
PRINCETON,663600,279,0100106000,02128
PRINCETON,534500,281,0100107000,02128
PRINCETON,650600,283,0100108000,02128
PRINCETON,795900,285,0100109000,02128
PRINCETON,496800,301,0100110000,02128
PRINCETON,531600,303,0100111000,02128
PRINCETON,743820,305,0100112000,02128
LAWSON,415300,7,0100113000,02128
LAWSON,21300,6,0100114000,02128
LAWSON,384000,5,0100115000,02128
LAWSON,15300,4,0100116000,02128
LAWSON,15100,3,0100117000,02128
LAWSON,407500,1 2,0100118000,02128
PRINCETON,2632500,321,0100120000,02128
SHELBY,279500,27,0100120001,02128
SHELBY,221500,33,0100121000,02128
SARATOGA,405500,470 A472,0100122000,02128
SARATOGA,379800,468,0100123000,02128
SARATOGA,715600,466,0100124000,02128
SARATOGA,421100,464,0100125000,02128
SARATOGA,595900,462,0100126000,02128
SARATOGA,535700,460,0100127000,02128
SARATOGA,710100,458,0100128000,02128
SARATOGA,713300,456,0100129000,02128
SARATOGA,690800,454,0100130000,02128
SARATOGA,115600,   ,0100131000,02128
SARATOGA,529200,442,0100132000,02128
SARATOGA,588000,440,0100133000,02128
SARATOGA,814300,438,0100134000,02128
SARATOGA,601900,432,0100135000,02128
SARATOGA,588800,428,0100136000,02128
SARATOGA,404400,426 R,0100137000,02128
WM F MCCLELLAN,35200,   ,0100438000,02128
SARATOGA,493400,426,0100138000,02128
SARATOGA,656800,424,0100139000,02128
SARATOGA,633300,422,0100140000,02128
SARATOGA,518400,420,0100141000,02128
SARATOGA,589600,416,0100142000,02128
SARATOGA,610100,414,0100143000,02128
SARATOGA,678400,412,0100144000,02128
SARATOGA,295200,410,0100145002,02128
SARATOGA,306400,410,0100145004,02128
SARATOGA,322500,410,0100145006,02128
GLADSTONE,65100,   ,0101992000,02128
SARATOGA,593000,408,0100146000,02128
SARATOGA,563300,406,0100147000,02128
SARATOGA,542300,404,0100148000,02128
PRINCETON,929400,262,0100149000,02128
LEXINGTON,785700,253,0100150000,02128
LEXINGTON,1624500,261,0100151000,02128
LEXINGTON,646800,263,0100152000,02128
LEXINGTON,145200,265,0100153002,02128
LEXINGTON,215700,265,0100153004,02128
LEXINGTON,223500,265,0100153006,02128
LEXINGTON,288600,265,0100153008,02128
LEXINGTON ,169300,267,0100154002,02128
LEXINGTON ,234600,267,0100154004,02128
LEXINGTON ,243800,267,0100154006,02128
LEXINGTON ,257700,267,0100154008,02128
LEXINGTON,248900,269,0100155002,02128
LEXINGTON ,300500,269,0100155004,02128
LEXINGTON,298800,269,0100155006,02128
LEXINGTON,716200,271,0100156000,02128
LEXINGTON,574900,273,0100157000,02128
LEXINGTON,687000,275,0100158000,02128
SHELBY,1127000,9,0100178000,02128
LEXINGTON,567500,279,0100159000,02128
LEXINGTON,564100,281,0100160000,02128
LEXINGTON,550200,283,0100161000,02128
LEXINGTON,536700,285,0100162000,02128
LEXINGTON,338000,287,0100163000,02128
LEXINGTON,325700,289,0100164000,02128
LEXINGTON,467500,291,0100165000,02128
LEXINGTON,592300,293,0100166000,02128
